Keyword,Type,Search_Volume,Competition,Intent
oil gas employee wellness programs,Primary,1200,Medium,Commercial
petroleum industry mental health,Primary,890,High,Informational
energy sector addiction recovery,Primary,1500,High,Commercial
oilfield worker wellness,Primary,750,Low,Informational
oil gas EAP programs,Primary,650,Medium,Commercial
executive recovery programs,Primary,450,Low,Commercial
oil gas employee assistance,Primary,980,Medium,Commercial
energy industry mental health services,Primary,1100,High,Informational
petroleum worker addiction treatment,Primary,680,Medium,Commercial
oil gas rotation schedule wellness,Primary,520,Low,Informational
Alberta oil gas employee mental health programs,Long-tail,320,Low,Commercial
Saskatchewan petroleum worker addiction recovery,Long-tail,210,Low,Commercial
BC energy sector wellness coordinators,Long-tail,180,Low,Commercial
14 day executive addiction treatment program,Long-tail,150,Very Low,Commercial
28 day virtual recovery program oil workers,Long-tail,290,Low,Commercial
oil gas shift worker mental health support,Long-tail,420,Medium,Informational
petroleum industry employee retention wellness,Long-tail,380,Low,Commercial
energy sector absenteeism reduction programs,Long-tail,340,Medium,Commercial
oilfield stress management rotation schedules,Long-tail,280,Low,Informational
oil gas workplace safety mental health,Long-tail,460,Medium,Commercial
energy company EAP employee assistance programs,Long-tail,520,Medium,Commercial
oil gas HR wellness program ROI,Long-tail,190,Low,Commercial
petroleum executive confidential addiction treatment,Long-tail,110,Very Low,Commercial
virtual recovery program remote oil workers,Long-tail,240,Low,Commercial
oil gas industry substance abuse costs,Long-tail,350,Medium,Informational
Calgary oil gas employee wellness,Local,180,Low,Commercial
Edmonton petroleum mental health services,Local,120,Low,Commercial
Saskatoon energy worker addiction treatment,Local,85,Very Low,Commercial
Regina oil gas employee assistance,Local,95,Very Low,Commercial
Vancouver energy sector wellness programs,Local,160,Medium,Commercial
Fort McMurray oilfield worker mental health,Local,140,Low,Commercial
Grande Prairie oil gas wellness coordinator,Local,75,Very Low,Commercial
Lloydminster petroleum employee support,Local,65,Very Low,Commercial
Medicine Hat energy industry wellness,Local,55,Very Low,Commercial
Red Deer oil gas mental health programs,Local,70,Very Low,Commercial
